Episode,Total Step,Total Reward
539,539000,5044.538324582217
540,540000,5044.511047018694
541,541000,5000.718405943722
542,542000,4973.176877892788
543,543000,5150.183542507455
544,544000,4967.171211987629
545,545000,5099.388870782547
546,546000,4952.74112846875
547,547000,4580.85840491024
548,548000,5238.157814235134
549,549000,4884.878047202194
550,550000,4971.717817392314
551,551000,5126.138616105151
552,552000,5078.589725214546
553,553000,5178.376432116498
554,554000,5091.52164906918
555,555000,5203.43830988083
556,556000,5265.23237037155
557,557000,5064.2878884263455
558,558000,4985.225087839314
559,559000,4907.876651852792
560,560000,4997.087125167387
561,561000,5007.051902916593
562,562000,5100.280832748156
563,563000,5054.050554045137
564,564000,5264.637108192229
565,565000,5105.901493240777
566,566000,5243.141336923041
567,567000,4814.820317725403
568,568000,4943.873718972466
569,569000,5026.484040898613
570,570000,5213.617438473294
571,571000,5064.1411324818655
572,572000,5117.793324857633
573,573000,5039.173638465842
574,574000,5104.38275875375
575,575000,5090.774408605505
576,576000,4939.87193166751
577,577000,1332.5017162939998
578,578000,5175.118314502637
579,579000,5157.524694129905
580,580000,5236.893432085373
581,581000,5121.078291081085
582,582000,5093.332565294296
583,583000,5175.137415382776
584,584000,5134.500803512963
585,585000,5309.364445535771
586,586000,4933.227779250448
587,587000,5236.5655317130495
588,588000,5226.014797301344
589,589000,5055.051398755098
590,590000,5223.517820964822
591,591000,5150.011828103091
592,592000,5035.000317867697
593,593000,5183.766133169255
594,594000,4960.58608521074
595,595000,5035.617783387752
596,596000,5272.493099504885
597,597000,5237.775454159788
598,598000,5326.557833068591
599,599000,5237.563031226686
600,600000,5091.639492902705
601,601000,5224.284884625547
602,602000,4965.8232248348995
603,603000,5039.896790861473
604,604000,5265.132592515384
605,605000,5251.871296538452
606,606000,4987.0231057175
607,607000,5318.880151444521
608,608000,5398.003148418915
609,609000,5052.945059472473
610,610000,5073.449406905872
611,611000,5225.735970588594
612,612000,5228.797460946701
613,613000,5435.658760164277
614,614000,5274.8606161540265
615,615000,5356.6628683375075
616,616000,5255.572939357538
617,617000,5417.40116430066
618,618000,5489.257350837501
619,619000,5310.172303970336
620,620000,5174.200178191679
621,621000,5396.020472759404
622,622000,5173.812941960323
623,623000,5136.897065810085
624,624000,5363.855137955991
625,625000,5199.647810186527
626,626000,5289.039849038889
627,627000,5235.845243429764
628,628000,5283.703077591955
629,629000,5348.3420294106945
630,630000,5249.715480935884
631,631000,5298.724245573121
632,632000,5215.656897049882
633,633000,5480.942344767565
634,634000,5361.897942069877
635,635000,5021.806765888508
636,636000,5384.834791008552
637,637000,5369.300634994675
638,638000,5510.093246673742
639,639000,5384.790882456986
640,640000,5206.401112319489
641,641000,5462.468931772128
642,642000,5362.626294820876
643,643000,5351.360940389903
644,644000,5270.430827736695
645,645000,5332.127079988792
646,646000,5266.517222654152
647,647000,5523.473894533604
648,648000,5113.461709366424
649,649000,5106.409361727259
650,650000,5532.362552810839
651,651000,5314.130093166979
652,652000,5299.6877687230735
653,653000,5453.867133798153
654,654000,5404.344098786564
655,655000,5271.401825495534
656,656000,5425.973766533701
657,657000,5261.960738648907
658,658000,5402.66802508533
659,659000,5217.494605948277
660,660000,5623.498708566481
661,661000,5242.808415153268
662,662000,5457.416893014717
663,663000,5497.810856760612
664,664000,5149.238448515741
665,665000,5371.739108313861
666,666000,5732.59127052435
667,667000,5390.78347487348
668,668000,5473.156854463056
669,669000,5110.784378212102
670,670000,5453.428991940093
671,671000,5318.876489687869
672,672000,5529.060256946964
673,673000,5459.498537891477
674,674000,5492.988226306125
675,675000,5231.154021746712
676,676000,5614.780012881382
677,677000,5434.08617678625
678,678000,5213.490296578295
679,679000,5365.145715677654
680,680000,5449.433376229347
681,681000,5426.9708963461135
682,682000,5287.907766832237
683,683000,5602.406410549007
684,684000,5485.686033313476
685,685000,5418.547529665639
686,686000,5296.076469675851
687,687000,5339.001960372104
688,688000,5479.094506467561
689,689000,5590.737608881863
690,690000,5607.491748795106
691,691000,5532.436845602688
692,692000,5489.536968321327
